delta_t_degC,uncompensated_drift_nm,itio_gate_voltage_v,thermal_tuning_power_mw,residual_tolerance_nm_q5200_snr25,residual_tolerance_degC_q5200_snr25
8.8,0.63426,1.076842105263158,2.53704,0.16527675440256745,2.293121809262122
9.0,0.648675,1.1013157894736842,2.5947,0.16527675440256745,2.293121809262122
9.200000000000001,0.6630900000000001,1.1257894736842107,2.6523600000000003,0.16527675440256745,2.293121809262122
9.4,0.677505,1.1502631578947369,2.71002,0.16527675440256745,2.293121809262122
9.600000000000001,0.6919200000000001,1.1747368421052633,2.7676800000000004,0.16527675440256745,2.293121809262122
9.8,0.706335,1.1992105263157897,2.82534,0.16527675440256745,2.293121809262122
10.0,0.72075,1.223684210526316,2.883,0.16527675440256745,2.293121809262122
10.200000000000001,0.7351650000000001,1.2481578947368424,2.9406600000000003,0.16527675440256745,2.293121809262122
10.4,0.74958,1.2726315789473686,2.99832,0.16527675440256745,2.293121809262122
10.600000000000001,0.7639950000000001,1.297105263157895,3.0559800000000004,0.16527675440256745,2.293121809262122
10.8,0.77841,1.3215789473684212,3.11364,0.16527675440256745,2.293121809262122
11.0,0.792825,1.3460526315789474,3.1713,0.16527675440256745,2.293121809262122
11.200000000000001,0.8072400000000001,1.3705263157894738,3.2289600000000003,0.16527675440256745,2.293121809262122
11.4,0.821655,1.395,3.28662,0.16527675440256745,2.293121809262122
11.600000000000001,0.8360700000000001,1.4194736842105264,3.3442800000000004,0.16527675440256745,2.293121809262122
11.8,0.850485,1.4439473684210529,3.40194,0.16527675440256745,2.293121809262122
12.0,0.8649,1.468421052631579,3.4596,0.16527675440256745,2.293121809262122
12.200000000000001,0.8793150000000001,1.4928947368421055,3.5172600000000003,0.16527675440256745,2.293121809262122
12.4,0.89373,1.5173684210526317,3.57492,0.16527675440256745,2.293121809262122
12.600000000000001,0.9081450000000001,1.5418421052631581,3.6325800000000004,0.16527675440256745,2.293121809262122
12.8,0.92256,1.5663157894736843,3.69024,0.16527675440256745,2.293121809262122
13.0,0.936975,1.5907894736842105,3.7479,0.16527675440256745,2.293121809262122
13.200000000000001,0.9513900000000001,1.615263157894737,3.8055600000000003,0.16527675440256745,2.293121809262122
13.4,0.965805,1.6397368421052634,3.86322,0.16527675440256745,2.293121809262122
13.600000000000001,0.9802200000000001,1.6642105263157898,3.9208800000000004,0.16527675440256745,2.293121809262122
